Time,Zone ID,Event type,Severity
00:03:32,2,FIRE_DETECTED,Low,stuck
00:04:37,3,FIRE_DETECTED,Low,
00:13:39,1,DRONE_REQUEST,Moderate,jammed
00:14:29,5,DRONE_REQUEST,Low,jammed
00:16:16,3,FIRE_DETECTED,Moderate,
00:17:21,4,FIRE_DETECTED,Moderate,
00:21:05,2,DRONE_REQUEST,Low,
00:23:48,1,FIRE_DETECTED,High,
00:25:12,5,DRONE_REQUEST,Moderate,corrupted
00:27:33,3,FIRE_DETECTED,Low,
00:30:02,4,DRONE_REQUEST,High,
00:32:45,2,FIRE_DETECTED,Moderate,stuck
00:34:10,1,DRONE_REQUEST,Low,
00:36:58,5,FIRE_DETECTED,High,
00:38:21,3,DRONE_REQUEST,Moderate,
00:40:09,4,FIRE_DETECTED,Low,
00:42:37,2,DRONE_REQUEST,Moderate,packet_loss
00:44:15,1,FIRE_DETECTED,Moderate,
00:46:50,5,DRONE_REQUEST,High,
00:48:03,3,FIRE_DETECTED,Low,stuck
00:50:27,4,DRONE_REQUEST,Low,
00:52:11,2,FIRE_DETECTED,Moderate,corrupted
00:54:39,1,DRONE_REQUEST,High,jammed
00:56:22,5,FIRE_DETECTED,High,
00:58:47,3,DRONE_REQUEST,Moderate,packet_loss
01:00:00,4,FIRE_DETECTED,Low,
